Base	Type	Characteristic 1	Characteristic 2
GARCH	Volatility	Break: Mean Shift	Anomaly: Collective
GARCH	Volatility	Break: Mean Shift	Break: Variance Shift
GARCH	Volatility	Break: Variance Shift	
GARCH	Volatility	Break: Variance Shift	Anomaly: Point
GARCH	Volatility	Break: Variance Shift	Anomaly: Collective
GARCH	Volatility	Break: Variance Shift	Break: Mean Shift
EGARCH	Volatility	Anomaly: Point	
EGARCH	Volatility	Anomaly: Point	Anomaly: Collective
EGARCH	Volatility	Anomaly: Point	Break: Mean Shift
EGARCH	Volatility	Anomaly: Point	Break: Variance Shift
EGARCH	Volatility	Anomaly: Collective	
EGARCH	Volatility	Anomaly: Collective	Anomaly: Point
EGARCH	Volatility	Anomaly: Collective	Break: Mean Shift
EGARCH	Volatility	Anomaly: Collective	Break: Variance Shift
EGARCH	Volatility	Break: Mean Shift	
EGARCH	Volatility	Break: Mean Shift	Anomaly: Point
EGARCH	Volatility	Break: Mean Shift	Anomaly: Collective
EGARCH	Volatility	Break: Mean Shift	Break: Variance Shift
EGARCH	Volatility	Break: Variance Shift	
EGARCH	Volatility	Break: Variance Shift	Anomaly: Point
EGARCH	Volatility	Break: Variance Shift	Anomaly: Collective
EGARCH	Volatility	Break: Variance Shift	Break: Mean Shift
APARCH	Volatility	Anomaly: Point	
APARCH	Volatility	Anomaly: Point	Anomaly: Collective
APARCH	Volatility	Anomaly: Point	Break: Mean Shift
APARCH	Volatility	Anomaly: Point	Break: Variance Shift
APARCH	Volatility	Anomaly: Collective	
APARCH	Volatility	Anomaly: Collective	Anomaly: Point
APARCH	Volatility	Anomaly: Collective	Break: Mean Shift
APARCH	Volatility	Anomaly: Collective	Break: Variance Shift
APARCH	Volatility	Break: Mean Shift	
APARCH	Volatility	Break: Mean Shift	Anomaly: Point
APARCH	Volatility	Break: Mean Shift	Anomaly: Collective
APARCH	Volatility	Break: Mean Shift	Break: Variance Shift
APARCH	Volatility	Break: Variance Shift	
APARCH	Volatility	Break: Variance Shift	Anomaly: Point
APARCH	Volatility	Break: Variance Shift	Anomaly: Collective
APARCH	Volatility	Break: Variance Shift	Break: Mean Shift
